Policy Area,Dataset,Variable,Year,Amount,Tract,Tract Number,Neighborhood,GEOID,Location,Row ID,Date
Employment & Income,Income,Median Household Income,2011,"105,682","Census Tract 5775.04, Los Angeles County, California",577504,Long Beach,1400000US06037577504,"(33.75077078, -118.1235076)",Median_Household_Income_2011_1400000US06037577504,01/01/2011
Employment & Income,Income,Median Household Income,2011,"80,137","Census Tract 4819.01, Los Angeles County, California",481901,Alhambra,1400000US06037481901,"(34.0698145, -118.1548085)",Median_Household_Income_2011_1400000US06037481901,01/01/2011
Employment & Income,Income,Median Household Income,2015,"103,523","Census Tract 2141, Los Angeles County, California",214100,Hancock Park,1400000US06037214100,"(34.074602, -118.339096)",Median_Household_Income_2015_1400000US06037214100,01/01/2015
Employment & Income,Income,Median Household Income,2012,"40,025","Census Tract 2430, Los Angeles County, California",243000,Watts,1400000US06037243000,"(33.938704, -118.2338885)",Median_Household_Income_2012_1400000US06037243000,01/01/2012
Employment & Income,Income,Median Household Income,2012,"113,365","Census Tract 3007.01, Los Angeles County, California",300701,Glendale,1400000US06037300701,"(34.202483, -118.2588315)",Median_Household_Income_2012_1400000US06037300701,01/01/2012
Employment & Income,Income,Median Household Income,2016,"93,438","Census Tract 1081.02, Los Angeles County, California",108102,Porter Ranch,1400000US06037108102,"(34.280795, -118.55492)",Median_Household_Income_2016_1400000US06037108102,01/01/2016
Employment & Income,Income,Median Household Income,2015,"41,449","Census Tract 5409.01, Los Angeles County, California",540901,Willowbrook,1400000US06037540901,"(33.919847, -118.273685)",Median_Household_Income_2015_1400000US06037540901,01/01/2015
Employment & Income,Income,Median Household Income,2012,"77,019","Census Tract 1132.32, Los Angeles County, California",113232,West Hills,1400000US06037113232,"(34.227417, -118.61402)",Median_Household_Income_2012_1400000US06037113232,01/01/2012
Employment & Income,Income,Median Household Income,2011,"21,334","Census Tract 2214.01, Los Angeles County, California",221401,Jefferson Park,1400000US06037221401,"(34.0339245, -118.3133125)",Median_Household_Income_2011_1400000US06037221401,01/01/2011
Employment & Income,Income,Median Household Income,2011,"71,163","Census Tract 5438.01, Los Angeles County, California",543801,Carson,1400000US06037543801,"(33.8424445, -118.271881)",Median_Household_Income_2011_1400000US06037543801,01/01/2011
Employment & Income,Income,Median Household Income,2010,"83,551","Census Tract 4012.02, Los Angeles County, California",401202,San Dimas,1400000US06037401202,"(34.113742, -117.8332835)",Median_Household_Income_2010_1400000US06037401202,01/01/2010
Employment & Income,Income,Median Household Income,2010,"81,797","Census Tract 1060.20, Los Angeles County, California",106020,Sylmar,1400000US06037106020,"(34.320427, -118.428524)",Median_Household_Income_2010_1400000US06037106020,01/01/2010
Employment & Income,Income,Median Household Income,2014,"24,324","Census Tract 1283.03, Los Angeles County, California",128303,Van Nuys,1400000US06037128303,"(34.18356, -118.4530775)",Median_Household_Income_2014_1400000US06037128303,01/01/2014
Employment & Income,Income,Median Household Income,2015,"26,833","Census Tract 6006.02, Los Angeles County, California",600602,Inglewood,1400000US06037600602,"(33.941607, -118.3307755)",Median_Household_Income_2015_1400000US06037600602,01/01/2015
Employment & Income,Income,Median Household Income,2012,"27,589","Census Tract 5425.02, Los Angeles County, California",542502,Compton,1400000US06037542502,"(33.8922755, -118.22747)",Median_Household_Income_2012_1400000US06037542502,01/01/2012
Employment & Income,Income,Median Household Income,2014,"63,190","Census Tract 5547, Los Angeles County, California",554700,Norwalk,1400000US06037554700,"(33.884038, -118.075438)",Median_Household_Income_2014_1400000US06037554700,01/01/2014
Employment & Income,Income,Median Household Income,2016,"22,257","Census Tract 1911.10, Los Angeles County, California",191110,East Hollywood,1400000US06037191110,"(34.096507, -118.304869)",Median_Household_Income_2016_1400000US06037191110,01/01/2016
Employment & Income,Income,Median Household Income,2013,"97,250","Census Tract 6507.01, Los Angeles County, California",650701,Torrance,1400000US06037650701,"(33.8313195, -118.353571)",Median_Household_Income_2013_1400000US06037650701,01/01/2013
Employment & Income,Income,Median Household Income,2012,"61,883","Census Tract 5515.01, Los Angeles County, California",551501,Downey,1400000US06037551501,"(33.935499, -118.1570615)",Median_Household_Income_2012_1400000US06037551501,01/01/2012
Employment & Income,Income,Median Household Income,2015,"56,754","Census Tract 4038.02, Los Angeles County, California",403802,Charter Oak,1400000US06037403802,"(34.103074, -117.8463645)",Median_Household_Income_2015_1400000US06037403802,01/01/2015
Employment & Income,Income,Median Household Income,2014,"100,089","Census Tract 5016, Los Angeles County, California",501600,Whittier,1400000US06037501600,"(33.9783585, -118.0077355)",Median_Household_Income_2014_1400000US06037501600,01/01/2014
Employment & Income,Income,Median Household Income,2012,"41,451","Census Tract 4809.02, Los Angeles County, California",480902,Alhambra,1400000US06037480902,"(34.0810405, -118.140708)",Median_Household_Income_2012_1400000US06037480902,01/01/2012
Employment & Income,Income,Median Household Income,2016,"33,984","Census Tract 6018.01, Los Angeles County, California",601801,Inglewood,1400000US06037601801,"(33.9436365, -118.3504315)",Median_Household_Income_2016_1400000US06037601801,01/01/2016
Employment & Income,Income,Median Household Income,2014,"34,773","Census Tract 5351.02, Los Angeles County, California",535102,Florence-Firestone,1400000US06037535102,"(33.959393, -118.2495725)",Median_Household_Income_2014_1400000US06037535102,01/01/2014
Employment & Income,Income,Median Household Income,2015,"75,238","Census Tract 2973, Los Angeles County, California",297300,San Pedro,1400000US06037297300,"(33.72072214, -118.3123083)",Median_Household_Income_2015_1400000US06037297300,01/01/2015
Employment & Income,Income,Median Household Income,2010,"37,135","Census Tract 1233.03, Los Angeles County, California",123303,Valley Glen,1400000US06037123303,"(34.1975515, -118.411425)",Median_Household_Income_2010_1400000US06037123303,01/01/2010
Employment & Income,Income,Median Household Income,2015,"32,656","Census Tract 1232.04, Los Angeles County, California",123204,North Hollywood,1400000US06037123204,"(34.193936, -118.39433)",Median_Household_Income_2015_1400000US06037123204,01/01/2015
Employment & Income,Income,Median Household Income,2015,"32,154","Census Tract 5311.01, Los Angeles County, California",531101,East Los Angeles,1400000US06037531101,"(34.0358385, -118.18847)",Median_Household_Income_2015_1400000US06037531101,01/01/2015
Employment & Income,Income,Median Household Income,2012,"59,066","Census Tract 6031.01, Los Angeles County, California",603101,Gardena,1400000US06037603101,"(33.88692, -118.2954995)",Median_Household_Income_2012_1400000US06037603101,01/01/2012
Employment & Income,Income,Median Household Income,2011,"49,909","Census Tract 7002, Los Angeles County, California",700200,West Hollywood,1400000US06037700200,"(34.0924555, -118.365232)",Median_Household_Income_2011_1400000US06037700200,01/01/2011
Employment & Income,Income,Median Household Income,2010,"97,083","Census Tract 2627.04, Los Angeles County, California",262704,Pacific Palisades,1400000US06037262704,"(34.0424942, -118.5425851)",Median_Household_Income_2010_1400000US06037262704,01/01/2010
Employment & Income,Income,Median Household Income,2015,"31,023","Census Tract 2123.05, Los Angeles County, California",212305,Koreatown,1400000US06037212305,"(34.056107, -118.298204)",Median_Household_Income_2015_1400000US06037212305,01/01/2015
Employment & Income,Income,Median Household Income,2012,"93,750","Census Tract 3101, Los Angeles County, California",310100,Burbank,1400000US06037310100,"(34.203851, -118.3106535)",Median_Household_Income_2012_1400000US06037310100,01/01/2012
Employment & Income,Income,Median Household Income,2015,"46,591","Census Tract 5014, Los Angeles County, California",501400,Whittier,1400000US06037501400,"(33.9809005, -118.0496115)",Median_Household_Income_2015_1400000US06037501400,01/01/2015
Employment & Income,Income,Median Household Income,2011,"99,792","Census Tract 1951, Los Angeles County, California",195100,Silver Lake,1400000US06037195100,"(34.1005075, -118.268184)",Median_Household_Income_2011_1400000US06037195100,01/01/2011
Employment & Income,Income,Median Household Income,2013,"87,974","Census Tract 9103.02, Los Angeles County, California",910302,Palmdale,1400000US06037910302,"(34.620746, -118.2219715)",Median_Household_Income_2013_1400000US06037910302,01/01/2013
Employment & Income,Income,Median Household Income,2015,"30,250","Census Tract 2414, Los Angeles County, California",241400,Broadway-Manchester,1400000US06037241400,"(33.925504, -118.275396)",Median_Household_Income_2015_1400000US06037241400,01/01/2015
Employment & Income,Income,Median Household Income,2015,"28,191","Census Tract 1193.40, Los Angeles County, California",119340,Panorama City,1400000US06037119340,"(34.2336085, -118.4518995)",Median_Household_Income_2015_1400000US06037119340,01/01/2015
Employment & Income,Income,Median Household Income,2014,"45,927","Census Tract 5415, Los Angeles County, California",541500,Willowbrook,1400000US06037541500,"(33.9141525, -118.227834)",Median_Household_Income_2014_1400000US06037541500,01/01/2014
Employment & Income,Income,Median Household Income,2016,"32,420","Census Tract 5313.01, Los Angeles County, California",531301,East Los Angeles,1400000US06037531301,"(34.0206815, -118.1830935)",Median_Household_Income_2016_1400000US06037531301,01/01/2016
Employment & Income,Income,Median Household Income,2013,"41,940","Census Tract 6020.04, Los Angeles County, California",602004,Inglewood,1400000US06037602004,"(33.934325, -118.330778)",Median_Household_Income_2013_1400000US06037602004,01/01/2013
Employment & Income,Income,Median Household Income,2015,"75,536","Census Tract 5541.03, Los Angeles County, California",554103,Bellflower,1400000US06037554103,"(33.899347, -118.1209575)",Median_Household_Income_2015_1400000US06037554103,01/01/2015
Employment & Income,Income,Median Household Income,2014,"68,920","Census Tract 9203.32, Los Angeles County, California",920332,Santa Clarita,1400000US06037920332,"(34.3818215, -118.514898)",Median_Household_Income_2014_1400000US06037920332,01/01/2014
Employment & Income,Income,Median Household Income,2015,"34,920","Census Tract 5344.05, Los Angeles County, California",534405,Cudahy,1400000US06037534405,"(33.9663705, -118.183009)",Median_Household_Income_2015_1400000US06037534405,01/01/2015
Employment & Income,Income,Median Household Income,2015,"63,523","Census Tract 1277.11, Los Angeles County, California",127711,Van Nuys,1400000US06037127711,"(34.1871595, -118.4701935)",Median_Household_Income_2015_1400000US06037127711,01/01/2015
Employment & Income,Income,Median Household Income,2012,"38,365","Census Tract 5342.02, Los Angeles County, California",534202,Bell Gardens,1400000US06037534202,"(33.958316, -118.159746)",Median_Household_Income_2012_1400000US06037534202,01/01/2012
Employment & Income,Income,Median Household Income,2013,"106,133","Census Tract 1066.41, Los Angeles County, California",106641,Granada Hills,1400000US06037106641,"(34.298025, -118.509153)",Median_Household_Income_2013_1400000US06037106641,01/01/2013
Employment & Income,Income,Median Household Income,2016,"66,774","Census Tract 2943.01, Los Angeles County, California",294301,Wilmington,1400000US06037294301,"(33.794497, -118.2807785)",Median_Household_Income_2016_1400000US06037294301,01/01/2016
Employment & Income,Income,Median Household Income,2013,"37,115","Census Tract 5338.05, Los Angeles County, California",533805,Bell,1400000US06037533805,"(33.97456, -118.17528)",Median_Household_Income_2013_1400000US06037533805,01/01/2013
Employment & Income,Income,Median Household Income,2011,"74,477","Census Tract 1436.03, Los Angeles County, California",143603,Studio City,1400000US06037143603,"(34.1438535, -118.3703245)",Median_Household_Income_2011_1400000US06037143603,01/01/2011
Employment & Income,Income,Median Household Income,2012,"39,004","Census Tract 1958.02, Los Angeles County, California",195802,Westlake,1400000US06037195802,"(34.0756415, -118.2780525)",Median_Household_Income_2012_1400000US06037195802,01/01/2012
Employment & Income,Income,Median Household Income,2014,"88,542","Census Tract 1033, Los Angeles County, California",103300,Shadow Hills,1400000US06037103300,"(34.255439, -118.3527775)",Median_Household_Income_2014_1400000US06037103300,01/01/2014
